,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_,SSD,HDD
490,Lenovo,Notebook,8,Nvidia,Windows,2.3,53918.82719999999,0,1,141.21199808219862,Intel Core i5,256,0
491,Toshiba,Ultrabook,32,Intel,Windows,1.05,149130.72,1,0,165.6321180513006,Intel Core i7,512,0
492,Asus,Gaming,8,Nvidia,Windows,1.99,71928.0,0,0,141.21199808219862,Intel Core i7,128,1000
493,Acer,Notebook,8,AMD,Windows,2.2,30849.12,0,0,100.45466986113651,AMD processor,0,1000
494,Asus,Gaming,24,Nvidia,Windows,4.33,67612.31999999999,1,1,127.33567457123111,Intel Core i7,256,1000
495,Lenovo,Ultrabook,8,Intel,Windows,1.3,58554.72,0,1,125.36742798669837,Intel Core i5,180,0
496,Lenovo,Notebook,8,Intel,Windows,2.17,47893.39199999999,0,0,141.21199808219862,Intel Core i7,256,0
497,HP,Notebook,8,Intel,Windows,1.48,93186.72,0,0,157.3505121487356,Intel Core i7,1000,0
498,Lenovo,Notebook,8,Intel,Windows,1.4,50562.72,0,1,165.6321180513006,Intel Core i3,256,0
499,Lenovo,Notebook,8,Intel,Windows,2.3,48538.08,0,1,141.21199808219862,Intel Core i5,256,0
500,Asus,Netbook,4,Intel,Windows,1.2,18115.2,0,0,135.0942111925629,Intel Processor,0,0
501,HP,Notebook,8,AMD,Windows,1.91,32979.7872,0,0,100.45466986113651,Intel Core i5,256,0
502,Lenovo,2 in 1 Convertible,8,Intel,Windows,1.4,85194.72,1,1,158.48253022174808,Intel Core i5,256,0
503,Lenovo,Notebook,4,Intel,Windows,2.1,15930.72,0,0,111.93520355955211,Intel Processor,0,500
504,Lenovo,Netbook,4,Intel,Chrome,1.25,14119.2,0,0,135.0942111925629,Intel Processor,16,0
505,Lenovo,Notebook,8,Intel,Windows,1.44,50562.72,0,0,165.6321180513006,Intel Core i5,256,0
506,Asus,Notebook,8,Intel,Windows,2.0,65214.72,0,0,141.21199808219862,Intel Core i7,256,1000
507,Acer,Notebook,4,Nvidia,Windows,2.2,32660.64,0,1,141.21199808219862,Intel Core i5,0,1000
508,HP,Ultrabook,8,Intel,Windows,1.34,70489.44,0,1,165.6321180513006,Intel Core i7,512,0
509,Lenovo,Gaming,8,Nvidia,No,2.4,61218.72,0,1,141.21199808219862,Intel Core i7,256,1000
510,Dell,Ultrabook,8,Intel,Windows,1.29,47898.72,1,1,165.6321180513006,Intel Core i5,128,0
511,Acer,Notebook,4,Nvidia,Windows,2.2,34045.92,0,0,141.21199808219862,Intel Core i7,0,500
512,Dell,Notebook,8,Intel,Windows,2.18,44542.08,0,0,141.21199808219862,Intel Core i5,0,1000
513,Dell,Notebook,16,AMD,Windows,2.2,64961.10719999999,0,0,141.21199808219862,Intel Core i7,256,2000
514,Xiaomi,Notebook,16,Nvidia,No,1.95,74589.336,0,1,141.21199808219862,Intel Core i7,256,0
515,Asus,Netbook,2,Intel,Windows,1.1,13053.6,0,0,135.0942111925629,Intel Processor,0,0
516,HP,Notebook,4,Intel,Windows,2.04,27783.9216,1,0,100.45466986113651,Intel Core i5,0,1000
517,Asus,Gaming,24,Nvidia,Windows,2.24,158135.04,0,0,141.21199808219862,Intel Core i7,512,0
518,HP,Notebook,8,Nvidia,Windows,2.04,47365.92,0,0,141.21199808219862,Intel Core i5,256,0
519,Asus,Gaming,16,Nvidia,Windows,3.0,80133.12,0,0,127.33567457123111,Intel Core i7,256,1000
520,Lenovo,Gaming,8,Nvidia,Windows,3.2,74538.72,0,1,141.21199808219862,Intel Core i7,256,1000
521,HP,Ultrabook,8,Intel,Windows,1.32,74538.72,0,1,165.6321180513006,Intel Core i7,256,0
522,Dell,Notebook,8,Intel,Windows,1.64,68184.0144,0,0,157.3505121487356,Intel Core i5,256,0
523,HP,Notebook,4,Intel,Windows,1.63,36709.92,0,0,100.45466986113651,Intel Core i3,128,0
524,Dell,Notebook,8,AMD,Linux,2.8,47365.92,0,1,127.33567457123111,Intel Core i5,128,1000
525,Lenovo,Notebook,8,Intel,Windows,2.02,71395.2,0,0,157.3505121487356,Intel Core i5,256,0
526,Lenovo,Notebook,4,Nvidia,Windows,2.2,42570.72,0,0,141.21199808219862,Intel Core i7,0,1000
527,Lenovo,Notebook,8,Nvidia,No,2.2,24455.52,0,0,100.45466986113651,Intel Core i3,0,2000
528,Dell,Notebook,4,AMD,Windows,2.3,31168.8,0,0,141.21199808219862,Intel Core i5,0,500
529,Dell,Notebook,8,Intel,Windows,1.9,73366.56,0,0,141.21199808219862,Intel Core i5,256,0
530,Dell,Gaming,16,Nvidia,Windows,4.42,160520.3856,0,1,127.33567457123111,Intel Core i7,128,1000
531,Toshiba,Notebook,8,Intel,Windows,2.0,45820.8,0,1,141.21199808219862,Intel Core i5,0,500
532,Asus,Notebook,8,Nvidia,Windows,2.0,69210.72,0,1,282.42399616439724,Intel Core i7,256,1000
533,Mediacom,Notebook,4,Intel,Windows,1.2,19660.32,0,1,165.6321180513006,Intel Processor,32,0
534,Asus,Gaming,8,Nvidia,Windows,2.3,87858.72,0,1,141.21199808219862,Intel Core i5,128,1000
535,Dell,Notebook,8,Nvidia,Windows,1.93,72940.31999999999,0,0,141.21199808219862,Intel Core i7,256,0
536,Dell,Notebook,8,AMD,Windows,2.2,42486.0048,0,0,141.21199808219862,Intel Core i5,256,0
537,HP,Notebook,4,Intel,Windows,1.86,21258.1872,0,0,141.21199808219862,Intel Processor,256,0
538,HP,Gaming,12,Nvidia,Windows,2.62,95850.72,0,0,127.33567457123111,Intel Core i7,0,1000
539,Lenovo,Notebook,8,Nvidia,Windows,1.87,45767.52,0,1,157.3505121487356,Intel Core i7,256,0
540,Dell,Ultrabook,8,Intel,Windows,1.2,74538.72,1,0,276.053530085501,Intel Core i7,256,0
541,Dell,Notebook,4,Intel,Windows,1.6,39207.1536,0,0,157.3505121487356,Intel Core i3,128,0
542,HP,Ultrabook,8,Intel,Windows,1.34,61005.6,0,1,276.053530085501,Intel Core i7,256,0
543,Acer,Gaming,8,Nvidia,Linux,2.4,42517.44,0,0,141.21199808219862,Intel Core i5,0,1000
544,Asus,Notebook,4,AMD,Windows,2.0,18594.72,0,0,100.45466986113651,AMD processor,0,500
545,HP,Notebook,4,Intel,Windows,2.1,37589.04,0,0,141.21199808219862,Intel Core i3,128,0
546,Lenovo,Notebook,4,Intel,Windows,1.87,41824.8,0,0,157.3505121487356,Intel Core i5,0,500
547,Lenovo,Notebook,4,Intel,No,2.15,24634.008,0,0,141.21199808219862,Intel Core i5,0,1000
548,HP,Notebook,4,Intel,Windows,1.86,21152.16,0,0,141.21199808219862,Intel Core i3,0,500
549,Lenovo,Notebook,8,Intel,Windows,1.99,92121.12,0,1,141.21199808219862,Intel Core i7,512,0
550,Lenovo,Notebook,4,Intel,Windows,2.2,26586.72,0,0,141.21199808219862,Intel Core i3,128,0
551,Dell,Notebook,8,Intel,Windows,1.9,59513.2272,0,0,141.21199808219862,Intel Core i5,256,0
552,Dell,Gaming,16,Nvidia,Windows,4.42,143802.72,0,1,127.33567457123111,Intel Core i7,256,1000
553,HP,Notebook,8,Intel,Windows,2.65,28992.312,0,0,106.11306214269258,Intel Core i3,0,1000
554,HP,Notebook,8,Nvidia,Windows,2.63,68198.4,0,0,127.33567457123111,Intel Core i7,0,1000
555,Asus,Notebook,4,Intel,Linux,2.0,11934.72,0,0,100.45466986113651,Intel Processor,0,500
556,Mediacom,Notebook,4,Intel,Windows,1.35,13586.4,0,1,165.6321180513006,Intel Processor,0,0
557,Lenovo,Notebook,6,Nvidia,Windows,2.8,50562.72,0,0,106.11306214269258,Intel Core i7,128,1000
558,HP,Notebook,6,AMD,Windows,1.91,30310.992,0,1,141.21199808219862,AMD processor,128,0
559,Dell,Notebook,4,AMD,Windows,2.18,32921.712,0,0,100.45466986113651,Intel Core i3,0,1000
560,Acer,2 in 1 Convertible,4,Intel,Windows,1.25,18594.72,1,1,189.90579052433606,Intel Processor,0,0
561,Lenovo,Notebook,4,Intel,Windows,2.05,33566.4,0,0,141.21199808219862,Intel Core i3,128,0
562,HP,Ultrabook,16,Intel,Windows,1.16,104695.2,1,1,276.053530085501,Intel Processor,512,0
563,Lenovo,Notebook,8,Nvidia,Windows,3.4,159786.72,0,1,127.33567457123111,Intel Core i7,256,0
564,Asus,Notebook,8,Nvidia,Windows,2.5,44701.92,0,0,141.21199808219862,Intel Core i5,128,1000
565,Dell,Ultrabook,8,Intel,Windows,1.21,85194.72,1,1,331.2642361026012,Intel Core i5,128,0
566,Dell,Notebook,4,Intel,Windows,1.93,51095.52,0,0,100.45466986113651,Intel Core i5,0,500
567,Fujitsu,Notebook,8,Intel,Windows,2.2,39373.92,0,0,100.45466986113651,Intel Core i5,0,1000
568,Lenovo,Notebook,4,Intel,Windows,2.2,18328.32,0,0,141.21199808219862,Intel Processor,0,500
569,Lenovo,Notebook,4,Intel,Windows,2.02,52747.2,0,0,111.93520355955211,Intel Core i5,0,500
570,HP,Workstation,8,Nvidia,Windows,3.14,99153.5472,0,0,106.11306214269258,Intel Core i5,0,500
571,HP,Notebook,8,Intel,Windows,1.94,20725.92,0,0,111.93520355955211,Intel Processor,0,2000
572,HP,Notebook,6,AMD,Windows,1.95,34578.72,0,1,141.21199808219862,AMD processor,256,0
573,Lenovo,Notebook,8,Intel,Windows,2.3,44222.4,0,0,141.21199808219862,Intel Core i5,256,0
574,Lenovo,Notebook,4,Intel,Windows,2.05,36496.8,0,0,141.21199808219862,Intel Core i5,0,500
575,Mediacom,Notebook,4,Intel,Windows,1.4,13266.72,0,0,157.3505121487356,Intel Processor,32,0
576,Toshiba,Ultrabook,16,Intel,Windows,1.24,99367.2,1,0,157.3505121487356,Intel Core i7,512,0
577,Lenovo,Gaming,32,Nvidia,Windows,4.6,141884.63999999998,0,1,127.33567457123111,Intel Core i7,256,1000
578,MSI,Gaming,16,Nvidia,Windows,4.14,145401.12,0,0,127.33567457123111,Intel Core i7,512,1000
579,Dell,Notebook,8,AMD,Linux,2.2,39907.2528,0,0,141.21199808219862,Intel Core i7,256,0
